; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+0,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;-0,007803263;;;;;;;;;;;;;;;;;;11:37:06;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+0,39%;;;;;0,034%;0,022%;0,037%;0,039%;0,132%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;� Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;� SEK 1D;;;� 1D;� 1D;DPS;DIV;� 1W;� MTD;� 1M;� 3M;� 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KL꿝ERN CERT 210414;;;SSE;99,99529;0;;;1,0;;;99,995;50 000 000;49 997 644;49 983 506;;;1,6%;;14 138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KL꿝ERN CERT 210616;;;SSE;99,74233;0;;;1,0;;;99,742;50 000 000;49 871 166;49 983 506;;;1,5%;;-112 340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;C E R T;;;;;;;;;;;;;544 408 146;;;;16,9%;;57 705;;;GROSS EQ;6,0%;28,3%;27,1%;32,6%;93,9%;0,03%;0,02%;0,04%;0,04%;0,13%;;;;;;;;;;;;;;;;;;;;
;C A S H;;;;;;;;;;;;;1 296 778 222;;;;40,3%;;;;;NET EQ;3,4%;15,2%;7,6%;0,6%;26,7%;0,7%;0,2%;0,6%;0,5%;0,4%;;;;;;;;;;;;;;;;;;;;
;D E B T & C A S H;;;;;;;;;;;;;2 373 676 314;;;;73,1%;-0,01%;-245 000;;;� NET;3,5%;16,0%;7,8%;0,0%;27,3%;0,0%;0,5%;0,7%;0,2%;0,4%;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Unlisted;;;;;2,4%;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;
;MONTH GROSS;;;;;;;;;;IB:;3 178 317 687;UB:;3 235 372 647;1,795%;;;GROSS;0,124%;4 017 389;;;Bonds;;;;;13,5%;22;64;44;81;0;;;;;;;;;;;;;;;;;;;;
;FIXED FEES;;;;;;;;;;;;;-2 648 598,1;-0,083%;;;;;;;;GROSS;6,0%;28,3%;27,1%;32,6%;109,8%;;VOL 30D:;MCAP:;DKK;1,363;;;;;;;;;;;;;;;;;;;;
;MONTH PRE PERF FEES;;;;;;;;;;;;;3 232 724 049;1,712%;;;;;;;;Cert;;;;;16,9%;LONG;27,0;53,6;NOK;1,009;;;;;;;;;;;;;;;;;;;;
;PERF FEES;;;;;;;;;;;;;-10 955 433;-0,345%;;;NAV:;0,458%;14 673 079;;;Cash;;;;;40,3%;SHORT;28,3;74,1;EUR;10,137;;;;;;;;;;;;;;;;;;;;
;MONTH NET;;;;;;;;;;;;;3 221 768 616;1,367%;;;;;;;;TOTAL;;;;;97,4%;;;;USD;8,379;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PERFORMANCE;;;;;;;;;;;;;;;;;HURDLE;;;;;PM;JK;WG;MH;EE;TOT;INDEX;1D;MTD;YTD;LIQ 5D:;;;;;;;;;;;;;;;;;;;;
;2021 YTD;;;;;;;;;;;;;;1,87%;;;SSVX 90;;-0,012%;;;TRADES;0;0;0;0;0;OMXS30;0,07%;2,3%;19,6%;87,3%;;;;;;;;;;;;;;;;;;;;
;SINCE INCEPTION ;;;;;;;;;;;;;;122,8%;;;PERF MULTIPLIER;;0,2;;;BPS;0,000%;0,000%;0,000%;0,000%;0,000%;CSX;0,39%;9,4%;17,1%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AUM;;
;TICKER;;;;;;;;;;;SELECT;ALCUR;TOTAL;SIZE;;;SENAST;DATUM;RAPPA;;;FX;;;;;;DKK;EUR;NOK;;;;;;;;;;;;;;;;;;10 000;15 000;20 000;25 000;30 000
;PNDX B;;;SSE;LAST;;;;;;;-890 366;-294 480;-1 184 846;-0,644%;;;0,6;21-03-16;;;;LONG;;;;;;124 658 892;5 534 987;96 265 673;lokal fx;;;;;;;;;;;;;;;;Net profit;45,1;76,1;107,1;138,1;169,1
;SHOT;;;SSE;LAST;;;;;;;-695 602;-384 915;-1 080 517;-0,565%;;;0,5;21-04-09;;;;SHORT;;;;;;-17 515 286;-23 486 274;-63 222 710;lokal fx;;;;;;;;;;;;;;;;;;;;;
;BMAX;;;SSE;LAST;;;;;;;0;-348 537;-348 537;-0,571%;;;0,5;21-03-24;;;;CASH;;;;;;-99 553 792;14 703 908;3 160 198;;;;;;;;;;;;;;;;;;;;;;
;READ;;;SSE;LAST;;;;;;;-91 707;-90 000;-181 707;-0,495%;;;0,4;20-09-25;;;;NET;;;;;;7 589 814;-3 247 379;36 203 161;;;;;;;;;;;;;;;;;;;;;;
;SVOL B;;;SSE;LAST;;;;;;;-94 603;-10 331;-104 934;-0,410%;;;0,4;20-09-24;;;;LIVE;;;;;;1,363;10,137;1,009;;;;;;;;;;;;;;;;;;;;;;
;ENEA;;;SSE;LAST;;;;;;;-17 101;-44 110;-61 211;-0,283%;;;0,2;20-10-08;;;;YDAY;;;;;;1,373;10,210;1,010;;;;;;;;;;;;;;;;;;;;;;
;DUST;;;SSE;LAST;;;;;;;-47 553;-163 856;-211 409;-0,238%;;;0,2;21-03-11;;;;DIFF;;;;;;950 739;-1 070 812;-3 950;;;;;;;;;;;;;;;;;;;;;;
;TOKMAN;;;HSS;LAST;;;;;;;0;-134 526;-134 526;-0,229%;;;0,2;21-03-26;;;;;;;;;;;;-124 024;;;;;;;;;;;;;;;;;;;;;;
;ENENTO;;;HSS;LAST;;;;;;;0;-46 593;-46 593;-0,194%;;;;20-12-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NNIT;;;CSS;LAST;;;;;;;0;-47 553;-47 553;-0,190%;;;;;;;;TICKER;;SELECT;ALCUR;GROW;TOTAL;SHARE;SENAST;RAPPAD;;;;;;;;;;;;;;;;;;;;;;
;TROAX;;;SSE;LAST;;;;;;;-35 719;0;-35 719;-0,060%;;;;21-02-23;;;;FPIP;;3 516 610;278 032;;3 794 642;7,1363%;5,0%;20-04-07;;;;;;;;;;;;;;;;;;;;;;
;COOR;;;SSE;LAST;;;;;;;-159 763;0;0;-0,167%;;;;21-01-18;;;;MNTR;;11 458 441;1 507 855;2 506 867;15 473 163;8,3219%;;;euron gr, beh쉡s inte;;;;;;;;;;;;;;;;;;;;;
;CDON;;;SSE;LAST;;;;;;;-1 102;-7 611;-8 713;-0,145%;;;;;;;;HUM;;2 810 756;71 042;102 431;2 984 229;5,6158%;5,0%;21-01-05;;;;;;;;;;;;;;;;;;;;;;
;BOOZT;;;SSE;LAST;;;;;;;-67 034;-26 111;-93 145;-0,143%;;;;21-03-10;;;;PRIC B;;6 320 436;779 041;;7 099 477;6,3976%;5,0%;20-05-15;;;;;;;;;;;;;;;;;;;;;;
;GRNG;;;SSE;LAST;;;;;;;-10 785;-141 307;-152 092;-0,143%;;;;21-03-10;;;;PACT;;463 420;37 553;;500 973;5,3673%;5,0%;21-01-26;;;;;;;;;;;;;;;;;;;;;;
;JM;;;SSE;LAST;;;;;;;7 714;-95 015;-87 301;-0,125%;;;;20-12-10;;;;CAT B;;3 293 983;943 553;569 311;4 806 847;5,4408%;5,0%;21-01-25;av kapital;;;;;;;;;;;;;;;;;;;;;
;NOBI;;;SSE;LAST;;;;;;;0;-206 819;-206 819;-0,121%;;;;21-03-08;;;;CAT B;;3 293 983;943 553;569 311;4 806 847;4,8876%;;;av r쉝ter;;;;;;;;;;;;;;;;;;;;;
;KESKOB;;;HSS;LAST;;;;;;;-53 057;-464 293;-517 350;-0,129%;;;;;;;;MSAB B;;898 577;;;898 577;4,6869%;;;;;;;;;;;;;;;;;;;;;;;;
;LUND B;;;SSE;LAST;;;;;;;-113 204;-116 415;-229 619;-0,093%;;;;21-03-11;;;;NWG;;1 000 749;120 926;;1 121 675;4,6617%;;20-10-29;;;;;;;;;;;;;;;;;;;;;;
;EPR;;;OSS;LAST;;;;;;;0;-150 000;-150 000;-0,090%;;;;;;;;MEAB B;;;;;0;0,0000%;;;;;;;;;;;;;;;;;;;;;;;;
;AXFO;;;SSE;LAST;;;;;;;-86 225;-101 752;-187 977;-0,090%;;;;21-03-03;;;;INFRA;;1 197 615;251 000;;1 448 615;4,6919%;;;;;;;;;;;;;;;;;;;;;;;;
;MSON B;;;SSE;LAST;;;;;;;-52 541;0;-52 541;-0,081%;;;;;;;;AMBEA;;2 887 034;1 744 762;400 894;5 032 690;5,3190%;;;SEB s둲erhet;;;;;;;;;;;;;;;;;;;;;
;LIME;;;SSE;LAST;;;;;;;-10 557;0;-10 557;-0,079%;;;;;;;;BRE2;;57 407 168;;4 183 347;;6,4352%;;;first north, beh쉡s inte;;;;;;;;;;;;;;;;;;;;;
;ARJO B;;;SSE;LAST;;;;;;;-16 188;-158 749;-174 937;-0,064%;;;;21-01-20;;;;JLT;;1 661 119;;;;5,8179%;;;first north, beh쉡s inte;;;;;;;;;;;;;;;;;;;;;
;NENT B;;;SSE;LAST;;;;;;;-23 538;-41 939;-65 477;-0,083%;;;;;;;;NEPA;;423 668;;;;5,3880%;;;first north, beh쉡s inte;;;;;;;;;;;;;;;;;;;;;
;SAS;;;SSE;LAST;;;;;;;0;-4 815 843;-4 815 843;-0,066%;;;;21-02-24;;;;IDUN B;;298 268;;174 419;;4,4414%;;;first north, beh쉡s inte;;;;;;;;;;;;;;;;;;;;;
;BEIJ B;;;SSE;LAST;;;;;;;-28 250;-23 400;-51 650;-0,041%;;;;20-05-27;;;;PAX;;380 854;;400 879;;4,4385%;;;first north, beh쉡s inte;;;;;;;;;;;;;;;;;;;;;
;BETS B;;;SSE;LAST;;;;;;;-55 000;-30 000;-85 000;-0,059%;;;;21-01-29;;;;FLUG B;;111 181;;;;3,7060%;;;;;;;;;;;;;;;;;;;;;;;;
;MATAS;;;CSS;LAST;;;;;;;0;-20 432;-20 432;-0,053%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ATT;;;SSE;LAST;;;;;;;0;-30 000;-30 000;-0,019%;;;;21-01-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SAA1V;;;HSS;LAST;;;;;;;0;-80 000;-80 000;-0,049%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CINT;;;SSE;LAST;;;;;;;0;-62 554;-62 554;-0,046%;;;;21-03-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAST;;;SSE;LAST;;;;;;;-31 980;-19 901;-51 881;-0,019%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ATRLJ B;;;SSE;LAST;;;;;;;22 444;-3 216;19 228;0,014%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;VIT B;;;SSE;LAST;;;;;;;-12 946;0;-12 946;-0,039%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WIHL;;;SSE;LAST;;;;;;;-35 000;-25 000;-60 000;-0,039%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ELISA;;;HSS;LAST;;;;;;;-19 253;-18 300;-37 553;-0,022%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CTY1S;;;HSS;LAST;;;;;;;0;-119 865;-119 865;-0,067%;;;;21-03-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NENT B;;;SSE;LAST;;;;;;;-23 538;-41 939;-65 477;-0,033%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INDT;;;SSE;LAST;;;;;;;-80 749;-122 887;-203 636;-0,056%;;;;20-04-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EQT;;;SSE;LAST;;;;;;;-103 213;-169 966;-273 179;-0,028%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IVSO;;;SSE;LAST;;;;;;;-12 100;0;-12 100;-0,027%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ICA;;;SSE;LAST;;;;;;;-23 442;-30 000;-53 442;-0,027%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ORES;;;SSE;LAST;;;;;;;-12 027;0;-12 027;-0,026%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MTG B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;21-01-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TOM;;;OSS;LAST;;;;;;;0;-22 200;-22 200;-0,015%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LATO B;;;SSE;LAST;;;;;;;-81 821;-35 000;-116 821;-0,018%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NIBE B;;;SSE;LAST;;;;;;;-56 787;-38 590;-95 377;-0,019%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HMS;;;SSE;LAST;;;;;;;-6 832;0;-6 832;-0,015%;;;;20-11-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INDU A;;;SSE;LAST;;;;;;;0;-82 000;-82 000;-0,019%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INTRUM;;;SSE;LAST;;;;;;;-30 000;-56 190;-86 190;-0,066%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ROCK B;;;CSS;LAST;;;;;;;-3 443;0;-3 443;-0,016%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TYRES;;;HSS;LAST;;;;;;;0;-20 850;-20 850;-0,015%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CATE;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MOWI;;;OSS;LAST;;;;;;;-46 655;-27 146;-73 801;-0,014%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DOM;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NETC;;;CSS;LAST;;;;;;;-5 995;0;-5 995;-0,012%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DNB;;;OSS;LAST;;;;;;;0;-160 300;-160 300;-0,010%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HPOL B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SINCH;;;SSE;LAST;;;;;;;-15 153;-5 480;-20 633;-0,034%;;;;20-10-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;XXL;;;OSS;LAST;;;;;;;-7 406;0;;-0,003%;;;;21-03-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RAY B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;20-03-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LIFCO B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FABG;;;SSE;LAST;;;;;;;0;-15 061;-15 061;-0,005%;;;;21-02-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FG;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KNOW;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;21-02-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LEO;;;SSE;LAST;;;;;;;0;-57 247;-57 247;-0,056%;;;;21-02-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ADAPT;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ATIC;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;20-12-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CLA B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;20-10-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CTT;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;20-05-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EOLU B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;21-01-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GARO;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;21-01-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GHP;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HOFI;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IAR B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INSTAL;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;20-08-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INWI;;;SSE;LAST;;;;;;;0;-61 047;-61 047;-0,105%;;;;20-04-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ITAB B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;JOMA;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KID;;;OSS;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KNEBV;;;HSS;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MEKO;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;21-01-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MIPS;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;20-07-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MTRS;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MUSTI;;;HSS;LAST;;;;;;;0;0;0;0,000%;;;;20-08-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NMAN;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NRC;;;OSS;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OEM B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ADDT B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;20-10-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;VNV;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BTS B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HEXA B;;;SSE;LAST;;;;;;;0;26 450;26 450;0,007%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BALD B;;;SSE;LAST;;;;;;;0;26 440;26 440;0,015%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZA;;;SSE;LAST;;;;;;;0;24 202;24 202;0,016%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CLAS B;;;SSE;LAST;;;;;;;0;0;0;0,000%;;;;21-03-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KAMBI;;;SSE;LAST;;;;;;;0;38 060;38 060;0,123%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SKIS B;;;SSE;LAST;;;;;;;0;54 034;54 034;0,069%;;;;20-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SWEC B;;;SSE;LAST;;;;;;;-21 200;110 211;89 011;0,074%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LOOMIS;;;SSE;LAST;;;;;;;0;71 633;71 633;0,095%;;;;20-11-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AAK;;;SSE;LAST;;;;;;;159 488;0;159 488;0,063%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KIND SDB;;;SSE;LAST;;;;;;;0;731 694;731 694;0,318%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HUFV A;;;SSE;LAST;;;;;;;522 452;421 252;943 704;0,447%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NCC B;;;SSE;LAST;;;;;;;305 387;213 328;518 715;0,478%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; PERFORMANCE;;;;;;;;;;;;;;;;;;;;;;GROSS;JK;WG;MH;EE;TOT;;NAV;0,8;ACC;OMX;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-01;0,060%;0,001%;0,150%;0,149%;0,360%;;0,200%;0,288%;0,200%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-02;0,000%;0,000%;0,000%;0,000%;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-05;0,000%;0,000%;0,000%;0,000%;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-06;-0,001%;0,058%;0,146%;0,041%;0,244%;;0,212%;0,195%;0,212%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-07;0,013%;0,120%;0,186%;0,114%;0,433%;;0,338%;0,346%;0,338%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-08;0,005%;-0,023%;-0,013%;0,062%;0,032%;;0,042%;0,026%;0,042%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-09;-0,002%;0,060%;0,058%;0,033%;0,150%;;0,103%;0,120%;0,103%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-12;-0,018%;-0,044%;-0,021%;0,100%;0,016%;;0,008%;0,013%;0,008%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-13;0,034%;0,022%;0,037%;0,039%;0,132%;;0,458%;0,105%;0,458%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-14;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-15;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-16;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-19;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-20;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-21;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-22;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-23;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-26;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-27;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-28;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-29;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;2021-04-30;;;;;0,000%;;0,000%;0,000%;0,000%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;APR;0,09%;0,19%;0,54%;0,54%;1,37%;;1,37%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,027%;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,341%;;;;;;;;;;;;;;;;;;;;;;;;;
;  BONDS;;;;;;;;;;PM;PRICE;NOMINAL;ACCRUED;VALUE;;;INTEREST;;COUPONS;;;INT DATE;DAYS;F꿘FALL;DAYS;;RETURN;YIELD;MONTH;3M STIB;;;;;;;;;;;;;;;;;;;;;;
;BMW;;;SSE;;;;;;;;100,586;20 000 000;14 019;20 131 219;;;0,68%;;2021-06-19;;;2021-03-19;37;2023-06-19;773;;175 681;0,41%;11 367;0,032%;;;;;;;;;;;;;;;;;;;;;;
