; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+0,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;-0,007803263;;;;;;;;;;;;;;;;;;11:37:06;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+0,39%;;;;;0,034%;0,022%;0,037%;0,039%;0,132%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;� Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;� SEK 1D;;;� 1D;� 1D;DPS;DIV;� 1W;� MTD;� 1M;� 3M;� 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HLDX;; ;SSE;LAST;2 670 202 428;0;333 450;0,90;0,3%;EE;54,90;204 931;11 250 712;0,42%;;;0,3%;0,00%;102 466;;;0,50;0,9%;0,00;0;7%;19%;20%;10%;37%;58;16,1 ;;;;;0,09;0,06;0,34;0,20;0,0;;;;;;;;;;;
;HOLM B;;;SSE;LAST;47 703 750 221;0;216 962;0,70;0,3%;WG;406,80;37 419;15 222 049;0,03%;;;0,5%;0,00%;-48 645;;;-1,30;-0,3%;0,00;0;-1%;6%;6%;5%;19%;23;5,0 ;;;;;0,04;0,02;0,18;0,11;0,4;;;;;;;;;;;
;HUFV A;;;SSE;LAST;28 064 756 498;0;484 747;0,70;0,3%;JK;138,25;100 000;13 825 000;0,05%;;;0,4%;0,00%;35 000;;;0,35;0,3%;0,00;0;1%;9%;7%;8%;11%;19;5,7 ;;;;;0,04;0,02;0,13;0,08;0,2;;;;;;;;;;;
;HUFV A;;;SSE;LAST;28 064 756 498;0;484 747;0,70;0,5%;WG;138,25;150 111;20 752 846;0,07%;;;0,6%;0,00%;52 539;;;0,35;0,3%;0,00;0;1%;9%;7%;8%;11%;19;5,7 ;;;;;0,06;0,04;0,20;0,12;0,3;;;;;;;;;;;
;HUFV A;;;SSE;LAST;28 064 756 498;0;484 747;0,70;0,5%;EE;138,25;171 141;23 660 243;0,08%;;;0,7%;0,00%;59 899;;;0,35;0,3%;0,00;0;1%;9%;7%;8%;11%;19;5,7 ;;;;;0,07;0,04;0,23;0,14;0,3;;;;;;;;;;;
;HUM;;;SSE;LAST;4 091 784 928;0;91 631;1,00;0,2%;WG;77,00;71 042;5 470 234;0,13%;;;0,2%;0,00%;63 938;;;0,90;1,2%;0,00;0;2%;5%;8%;29%;41%;20;15,0 ;;;;;0,04;0,03;0,06;0,03;0,0;;;;;;;;;;;
;INDU C;;;SSE;LAST;51 606 136 962;0;388 104;1,40;1,1%;EE;307,00;81 832;25 122 424;0,05%;;;0,8%;0,00%;-32 733;;;-0,40;-0,1%;0,00;0;-6%;0%;0%;12%;27%;29;4,5 ;;;;;0,06;0,04;0,37;0,22;0,7;;;;;;;;;;;
;INFRA;; ;AKTS;LAST;673 075 785;4 663 900;37 060;0,90;0,2%;WG;21,80;251 000;5 471 800;0,81%;;;0,2%;0,00%;-150 600;;;-0,60;-2,7%;0,00;0;-6%;-21%;-12%;35%;90%;51;14,7 ;;;;;0,04;0,02;0,15;0,09;0,0;;;;;;;;;;;
;ISS; ; ;CSS;LAST;30 744 550 195;0;615 955;1,00;2,6%;MH;121,48;503 637;83 396 569;0,27%;;;2,6%;-0,01%;-223 123;;;-0,33;-0,3%;0,00;0;-1%;3%;9%;20%;35%;23;11,6 ;;;;;0,50;0,30;0,98;0,59;1,3;;;;;;;;;;;
;ISS; ; ;CSS;LAST;30 744 550 195;0;615 955;1,00;0,6%;WG;121,48;110 000;18 214 751;0,06%;;;0,6%;0,00%;-48 733;;;-0,33;-0,3%;0,00;0;-1%;3%;9%;20%;35%;23;11,6 ;;;;;0,11;0,07;0,22;0,13;0,3;;;;;;;;;;;
