 ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAT B;;;SSE;#SAKNAS!;#SAKNAS!;0;#SAKNAS!;1,40;#SAKNAS!;WG;#SAKNAS!;713 553;#SAKNAS!;#SAKNAS!;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
CEVI;;;SSE;#SAKNAS!;#SAKNAS!;0;#SAKNAS!;0,80;#SAKNAS!;EE;#SAKNAS!;26 676;#SAKNAS!;#SAKNAS!;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
CHEMM;#SAKNAS!;#SAKNAS!;CSS;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;1,00;#SAKNAS!;WG;#SAKNAS!;24 373;#SAKNAS!;#SAKNAS!;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
CRAYN;;;OSS;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;1,50;#SAKNAS!;EE;#SAKNAS!;47 896;#SAKNAS!;n.m.;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
CSAM;;;OSS;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;1,50;#SAKNAS!;JK;#SAKNAS!;45 610;#SAKNAS!;n.m.;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
CTM;;;SSE;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;0,80;#SAKNAS!;EE;#SAKNAS!;80 585;#SAKNAS!;#SAKNAS!;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
CTM;;;SSE;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;1,40;#SAKNAS!;WG;#SAKNAS!;311 674;#SAKNAS!;#SAKNAS!;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
EMBRAC B;;;SSE;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;1,40;#SAKNAS!;JK;#SAKNAS!;55 000;#SAKNAS!;#SAKNAS!;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
EMBRAC B;;;SSE;#SAKNAS!;#SAKNAS!;0;#SAKNAS!;1,40;#SAKNAS!;EE;#SAKNAS!;40 000;#SAKNAS!;#SAKNAS!;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
ERIC B;;;SSE;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;1,30;#SAKNAS!;EE;#SAKNAS!;51 700;#SAKNAS!;#SAKNAS!;;;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;;;;;;
